SET_ID,LOWEST_TAXON,TOTAL_COUNT,LON,LAT,DATE,YEAR,SEASON,STRATA,WEIGHT
2010.02.001,Manayunkia aestuarina,4,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Alitta virens,1,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Nephtys ciliata,1,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Bipalponephtys cornuta ,4,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Nephtys incisa,1,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Streblospio benedicti,171,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Tubificoides benedii,28,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Tubificidae,69,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Phascolion (Phascolion) strombus strombus,1,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Mya arenaria,2,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Mytilus edulis,3,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Harpacticoida,55,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Ostracoda,5,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Acari,4,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Pycnophyes frequens,18,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.001,Ceratopogonidae,9,-66.25706667,45.18628333,18/02/2010,2010,Winter,channel,6407
2010.02.002,Cossura longocirrata,29,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Nephtys ciliata,2,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Bipalponephtys cornuta ,6,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Nephtys incisa,3,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Streblospio benedicti,68,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Tharyx sp.,1,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Oligochaeta,41,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Mytilus edulis,5,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Ecrobia truncata,2,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Harpacticoida,7,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Ostracoda,12,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.002,Acari,5,-66.25483333,45.18533333,18/02/2010,2010,Winter,channel,6196
2010.02.003,Manayunkia aestuarina,3,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Nemertea,4,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Aricidea catherinae,83,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Capitella capitata,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Cossura longocirrata,26,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Eteone longa,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Exogone sp.,16,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Hediste diversicolor,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Levinsenia gracilis,4,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Scoletoma tenuis,8,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Manayunkia aestuarina,3,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Alitta virens,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Nephtys ciliata,8,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Bipalponephtys cornuta ,5,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Nephtys incisa,2,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Phyllodoce maculata,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Polycirrus sp.,2,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Pygospio elegans,2,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Sabellaria vulgaris,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Streblospio benedicti,56,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Tharyx sp.,8,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Tubificoides benedii,5,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Tubificidae,195,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Electra sp.,3,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Mya arenaria,2,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Mytilus edulis,26,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Nucula proxima,2,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Ecrobia truncata,2,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Littorina obtusata,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Balanus sp.,3,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Harpacticoida,31,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Ostracoda,16,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
2010.02.003,Acari,1,-66.25236667,45.1841,18/02/2010,2010,Winter,channel,4307
